                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.4037,                0.59024,                0.96255,                0.80726,                0.67453,                0.74225,                0.60458,                0.65604,                 1.0689,                 1.1159,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.41019,                0.59033,                0.96477,                0.74567,                0.64645,                0.72133,                0.60627,                0.66352,                 1.0565,                 1.1296,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.36178,                0.59353,                 0.9548,                0.79621,                0.64485,                0.69486,                0.55938,                0.70593,                 1.1987,                 1.1694,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.33697,                0.45022,                0.93198,                0.75035,                0.66161,                0.69757,                 0.5744,                0.67462,                 1.1968,                 1.1424,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.32624,                0.44324,                0.91431,                0.82805,                0.62291,                0.70234,                0.58125,                0.66348,                 1.1658,                 1.1255,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.32405,                0.42836,                0.92518,                0.75684,                0.66963,                0.70482,                0.57063,                0.67892,                 1.1563,                 1.1466,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.32123,                0.42368,                0.92289,                0.82433,                 0.6233,                0.71467,                0.56713,                0.69269,                  1.097,                 1.1629,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.30862,                0.38641,                 0.9137,                0.82289,                0.63982,                0.71569,                0.57803,                0.68615,                 1.0931,                   1.16,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.29974,                0.38277,                0.90244,                 0.7417,                0.68871,                0.71599,                0.57164,                0.69357,                  1.084,                  1.168,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.30355,                0.37532,                0.91204,                0.79895,                0.66011,                0.72151,                0.57978,                0.69263,                 1.0895,                 1.1647,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.31344,                0.39073,                0.92635,                0.82931,                 0.6437,                0.72444,                0.58599,                0.69118,                 1.0775,                 1.1632,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.29671,                0.37408,                0.90572,                0.80978,                0.65805,                0.72044,                0.57809,                0.69131,                 1.0822,                 1.1667,             1.7522e-05,             1.7522e-05,             1.7522e-05
